PlaceName,Latitude,Longitude
"Guddekeri Post Thirthahalli Taluk, Shimoga 577411 India",13.5660825,75.1284874
"Guddekeri Post Thirthahalli Taluk, Shimoga 577411 India",13.5660825,75.1284874
"Naalur Post, Thirthahalli Taluk, Shimoga 577424 India",13.5940889,75.1355659
"Guddekeri Via Agumbe Thirthahalli Tq, Shimoga 577411 India",13.5026635,75.0903154
"Gajanoor, Shimoga 577202 India",13.853376,75.5400433
"3rd Parallel Rd, Durgigudi, Shimoga India",13.9345562,75.57351899999999
"B.H. Road Behind Corporation Bank, Bhadravathi, Shimoga 577301 India",13.8246566,75.6868928
"Nangala Village Bittangala Post, Virajpet 571218 India",12.1949851,75.8040022
"Jog Falls Sagar Taluk, Shimoga 577435 India",14.1670402,75.0403
"Nangala Village, Bittangala post, Virajpet 571218 India",12.1949851,75.8040022
"Maggula Village, Near Institute Of Dental Sciences, Virajpet 571218 India",12.2024902,75.8141728
"Gonikoppa Road, Virajpet 571218 India",12.1261162,75.888611
"South Western part of coorg district Coorg, Virajpet 571212 India",12.1949851,75.8040022
"Bharathipura Post Thirthahalli Taluk, Shimoga 577432 India",13.7054847,75.26207819999999
"Near Iruppu Water Falls Kurchi Village, Virajpet 571217 India",11.9661026,75.9833292
"State Highway 21 Arji Village, Perumbadi, Virajpet 571218 India",12.1785192,75.7995775
"West Nemmale Village and Post T Shettigeri, Virajpet 571249 India",12.1949851,75.8040022
"Sharda Residency Khb Colony Road Kavoor Road Plot No.21, Behind Hotel Coriander, Mangalore 575015 India",12.9233169,74.86533519999999
"F M C Road near Clock Tower, Virajpet 571218 India",12.1977249,75.8029365
"Apparanda Sagar Ganapathy Yavakapadi Village,, Virajpet 571212 India",12.1949851,75.8040022
Virajpet 571218 India,12.1949851,75.8040022
"Sagara Road 35/2A, Opposite Sharavathi Dental College, Shimoga 577202 India",13.9299299,75.568101
"Virajpet-Mysore Rd, Virajpet 571218 India",12.1917045,75.8087018
"Balraj Urs Road Near railway station, Shimoga 577201 India",13.9379268,75.5784088
"Belmar Aroor, Udupi India",13.4056699,74.7791505
"Thombathu, Hengavalli post Via Goliangadi, Kundapura Taluk, Udupi 576212 India",13.5517563,74.9346113
"Nh 66,, Udupi 576103 India",13.4354679,74.7445927
"Near Service Bus Stand, Udupi 576101 India",13.3422873,74.74727899999999
"Malpe Beach Road Near Gandhi Statue Malpe Beach, Udupi 576108 India",13.3562156,74.712396
"Kundalahalli Village, Sakleshpur 577119 India",12.9689968,77.72088529999999
"Keshava Iyengar Rd #28/28/ 1 L 37/1, Behind Suburb Stand, Lashkar Mohalla, Mysuru (Mysore) 570001 India",12.312242,76.6577908
"#435, K.R.S Road Metagalli, Mysuru (Mysore) 570016 India",12.3514192,76.6290703
"Kallumetlu Village,acchanahalli Sakleshpur, Hanbal Post,karnataka, Sakleshpur 573165 India",12.9699722,75.6665881
"Kotiganahally Estate Agani , Hanbal Post, Sakleshpur 573134 India",13.0046838,75.6969615
"Nh 66 Padubidri, Udupi 574111 India",13.1407854,74.7720464
"#25, Vasantha Mahal Road, Opp. Chamundi Vihar Stadium Nazarbad, Mysuru (Mysore) 570011 India",12.3069493,76.6673036
"Calicut Road, Gundlupete, Mysuru (Mysore) 571111 India",11.8083459,76.6927259
Sakleshpur 573134 India,12.9441511,75.78656529999999
